rank_by_return,strategy_name,rsi_period,rsi_buy,rsi_sell,rsi_buy_period,rsi_sell_period,rsi_oversold,rsi_recovery_delta,bias_period,bias_buy,bias_sell,bias_fast_period,bias_fast_buy,bias_slow_period,bias_slow_sell,bias_cross_threshold,bb_period,bb_std,bb_width_threshold,trailing_stop_pct,consecutive_days,total_return_pct,annualized_return_pct,max_drawdown_pct,win_rate_pct,wins,losses,total_trades,profit_factor,sharpe,buy_hold_return_pct,backtest_start,backtest_end,trading_days
126,MT-BIAS buy=BIAS(3)<=-7% sell=BIAS(15)>=10%,,,,,,,,,,,3,-7,15,10,,,,,,,137.63,15.32,-22.98,100.0,6,0,12,999,0.757,1083.5,2020-01-02,2026-04-28,1530
127,"BBw>=3% gate RSI(14,35,65)+BIAS(10,-5,7) bb_std=2.0",14,35,65,,,,,10,-5,7,,,,,,20,2.0,3,,,135.92,15.18,-49.19,70.0,7,3,20,2.76,0.6083,1083.5,2020-01-02,2026-04-28,1530
128,"BBw>=5% gate RSI(14,35,65)+BIAS(10,-5,7) bb_std=2.0",14,35,65,,,,,10,-5,7,,,,,,20,2.0,5,,,135.92,15.18,-49.19,70.0,7,3,20,2.76,0.6083,1083.5,2020-01-02,2026-04-28,1530
129,"BBw>=7% gate RSI(14,35,65)+BIAS(10,-5,7) bb_std=2.0",14,35,65,,,,,10,-5,7,,,,,,20,2.0,7,,,135.92,15.18,-49.19,70.0,7,3,20,2.76,0.6083,1083.5,2020-01-02,2026-04-28,1530
130,"BBw>=3% gate RSI(14,35,65)+BIAS(10,-5,7) bb_std=2.5",14,35,65,,,,,10,-5,7,,,,,,20,2.5,3,,,135.92,15.18,-49.19,70.0,7,3,20,2.76,0.6083,1083.5,2020-01-02,2026-04-28,1530
131,"BBw>=5% gate RSI(14,35,65)+BIAS(10,-5,7) bb_std=2.5",14,35,65,,,,,10,-5,7,,,,,,20,2.5,5,,,135.92,15.18,-49.19,70.0,7,3,20,2.76,0.6083,1083.5,2020-01-02,2026-04-28,1530
132,"BBw>=7% gate RSI(14,35,65)+BIAS(10,-5,7) bb_std=2.5",14,35,65,,,,,10,-5,7,,,,,,20,2.5,7,,,135.92,15.18,-49.19,70.0,7,3,20,2.76,0.6083,1083.5,2020-01-02,2026-04-28,1530
133,"BBw>=10% gate RSI(14,35,65)+BIAS(10,-5,7) bb_std=2.5",14,35,65,,,,,10,-5,7,,,,,,20,2.5,10,,,135.92,15.18,-49.19,70.0,7,3,20,2.76,0.6083,1083.5,2020-01-02,2026-04-28,1530
134,AsymRSI buy=RSI(10)<35 sell=RSI(21)>70,,35,70,10,21,,,,,,,,,,,,,,,,133.26,14.97,-48.8,75.0,15,5,40,2.35,0.5813,1083.5,2020-01-02,2026-04-28,1530
135,MT-BIAS buy=BIAS(3)<=-7% sell=BIAS(30)>=5%,,,,,,,,,,,3,-7,30,5,,,,,,,132.39,14.9,-22.98,100.0,6,0,12,999,0.7769,1083.5,2020-01-02,2026-04-28,1530
136,MT-BIAS buy=BIAS(3)<=-7% sell=BIAS(30)>=3%,,,,,,,,,,,3,-7,30,3,,,,,,,130.4,14.74,-22.98,100.0,7,0,14,999,0.7882,1083.5,2020-01-02,2026-04-28,1530
137,BIAS-mom(20) cross>-5% sell>=10%,,,,,,,,20,,10,,,,,-5,,,,,,130.04,14.71,-49.47,66.67,6,3,18,3.07,0.5785,1083.5,2020-01-02,2026-04-28,1530
138,"BBw>=10% gate RSI(14,30,70)+BIAS(10,-3,7) bb_std=2.5",14,30,70,,,,,10,-3,7,,,,,,20,2.5,10,,,129.01,14.62,-49.22,66.67,6,3,18,3.04,0.5909,1083.5,2020-01-02,2026-04-28,1530
139,AsymRSI buy=RSI(7)<35 sell=RSI(21)>65,,35,65,7,21,,,,,,,,,,,,,,,,128.64,14.59,-49.42,83.33,25,5,60,2.22,0.5688,1083.5,2020-01-02,2026-04-28,1530
140,MT-BIAS buy=BIAS(3)<=-10% sell=BIAS(30)>=7%,,,,,,,,,,,3,-10,30,7,,,,,,,127.53,14.5,-20.57,100.0,3,0,6,999,0.8667,1083.5,2020-01-02,2026-04-28,1530
141,"BBw>=10% gate RSI(14,35,70)+BIAS(10,-5,7) bb_std=2.0",14,35,70,,,,,10,-5,7,,,,,,20,2.0,10,,,126.02,14.37,-49.19,66.67,6,3,18,3.21,0.5848,1083.5,2020-01-02,2026-04-28,1530
142,"BBw>=10% gate RSI(14,35,70)+BIAS(10,-3,7) bb_std=2.0",14,35,70,,,,,10,-3,7,,,,,,20,2.0,10,,,125.89,14.36,-49.19,66.67,6,3,18,3.2,0.5778,1083.5,2020-01-02,2026-04-28,1530
143,AsymRSI buy=RSI(7)<25 sell=RSI(21)>65,,25,65,7,21,,,,,,,,,,,,,,,,124.19,14.22,-49.42,79.17,19,5,48,2.17,0.5654,1083.5,2020-01-02,2026-04-28,1530
144,MT-BIAS buy=BIAS(5)<=-10% sell=BIAS(30)>=10%,,,,,,,,,,,5,-10,30,10,,,,,,,123.5,14.16,-40.25,100.0,5,0,10,999,0.6311,1083.5,2020-01-02,2026-04-28,1530
145,"TrailStop(10%) RSI(14,30,65)",14,30,65,,,,,,,,,,,,,,,,10,,122.48,14.08,-44.37,64.52,20,11,62,1.9,0.6663,1083.5,2020-01-02,2026-04-28,1530
146,AsymRSI buy=RSI(5)<30 sell=RSI(14)>70,,30,70,5,14,,,,,,,,,,,,,,,,121.86,14.02,-49.47,80.56,29,7,72,1.91,0.5501,1083.5,2020-01-02,2026-04-28,1530
147,MT-BIAS buy=BIAS(3)<=-10% sell=BIAS(30)>=5%,,,,,,,,,,,3,-10,30,5,,,,,,,121.7,14.01,-20.57,100.0,3,0,6,999,0.844,1083.5,2020-01-02,2026-04-28,1530
148,MT-BIAS buy=BIAS(5)<=-10% sell=BIAS(30)>=7%,,,,,,,,,,,5,-10,30,7,,,,,,,121.08,13.96,-28.37,100.0,5,0,10,999,0.7077,1083.5,2020-01-02,2026-04-28,1530
